monitor_id,name,description,alert_name,alert_description
1,Logical Disk Average Disk Transfer Time,The Avg. Disk sec/Transfer (LogicalDisk\Avg. Disk sec/Transfer) for the logical disk has exceeded the threshold. The performance of applications that rely on this logical disk may be negatively impacted as the disk is taking an unusually long time to service read and write requests.,Average Disk Sec/Transfer is too high,The threshold for the Logical Disk\Avg. Disk Sec/Transfer performance counter has been exceeded. The value that exceeded the threshold is: {0} Sec/Transfer.
2,Logical Disk Disk Health,"A logical disk (file system) that was previously online is no longer available.  File system health is determined by inspecting the mount table to identify permanent, mounted file systems. If a mounted file system identified in a previous iteration is not included in the current enumeration, it is considered unhealthy.",Disk is not online,The status for disk is not healthy.
3,Logical Disk Free Space,"The amount of free space on the logical disk (file system) is low. System performance may be adversely affected, and the ability to add or modify existing files on the file system may be at risk until additional free space is made available.",% Free Space is too low,The threshold for the Logical Disk % Free Space performance counter has been exceeded. The value that exceeded the threshold is: {0}\% Free Space.
4,Logical Disk Percent Free Inodes,"The percentage of free inodes on the logical disk (file system) is low. System performance may be adversely affected, and the ability to add files on the file system may be at risk until additional inodes are made available.",% Free Inodes is too low,The threshold for the Logical Disk\\% Free inodes performance counter has been exceeded. The value that exceeded the threshold is: {0}\% Free Inodes.
5,Logical Disk Percent Free Space,"The percentage of free space on the logical disk (file system) is low. System performance may be adversely affected, and the ability to add or modify existing files on the file system may be at risk until additional free space is made available.",% Free Space is too low,The threshold for the Logical Disk\\% Free Space performance counter has been exceeded. The value that exceeded the threshold is: {0}\% Free Space.
6,Network Adapter Health,"The network adapter has been disconnected from the network and no longer has network connectivity.  Network adapter health is determined by identifying network adapters that are Up or Running (as defined by the device flags: IFF_RUNNING and IFF_UP of the ioctl: SIOCGIFFLAGS). If a network adapter that was identified as Up or Running is no longer Up or Running, it is considered unhealthy.",Network Adapter Connection Health,The status for network adapter {0} is not healthy.
7,Operating System Available MBytes,"Available megabytes of memory is low. System performance may be adversely affected.  The available megabytes memory value represents the sum of MemFree, Buffers and Cached as reported by the operating system.",Available MegaBytes Memory is too low,The threshold for the Memory\Available MBytes performance counter has been exceeded. The value that exceeded the threshold is: {0} Available MBytes.
8,Operating System Available MBytes Swap,"Available megabytes of swap space is low. System performance may be adversely affected.  The available megabytes of swap space value represents the free swap space, as reported by the operating system.",Available MegaBytes Swap Space is too low,The threshold for the Swap Space\Available MBytes performance counter has been exceeded. The value that exceeded the threshold is: {0} Available MBytes.
9,Operating System Total Percent DPC Time,"The total percentage of DPC time (for all processors) is high. System performance may be adversely affected.  Total DPC time is the time that all processors spent receiving and servicing deferred procedure calls (DPCs). DPCs are interrupts that run at a lower priority than standard interrupts. % DPC Time is a component of % Privileged Time because DPCs are executed in privileged mode. If a high % DPC Time is sustained, there may be a processor bottleneck or an application or hardware related issue that can significantly diminish overall system performance.",Total DPC Time Percentage is too high,The threshold for the Processor\\% DPC Time\_Total performance counter has been exceeded. The value that exceeded the threshold is: {0}.
10,Operating System Total Percent Interrupt Time,"The total percentage of interrupt time (for all processors) is high. System performance may be adversely affected.  Total interrupt time is the time that all processors spent receiving and servicing hardware interrupts. This value is an indirect indicator of the activity of devices that generate interrupts, such as the system clock, the mouse, storage controllers, data communication lines, network interface cards and other peripheral devices. These devices normally interrupt the processor when they have completed a task or require attention. Normal thread execution is suspended during interrupts.",Total Percentage Interrupt Time is too high,The threshold for the Processor\\% Interrupt Time\_Total performance counter has been exceeded. The value that exceeded the threshold is: {0}.
